Bin,Position_mm,W2264AC_target_mil,W2264AD_target_mil,W2264AE_target_mil
1,0.0,28.93,20.37,23.89
2,6.3,29.09,20.53,24.05
3,12.6,29.25,20.69,24.21
4,18.9,29.41,20.85,24.37
5,25.2,29.56,21.0,24.52
6,31.5,29.72,21.16,24.68
7,37.8,29.88,21.32,24.84
8,44.1,30.04,21.48,25.0
9,50.4,30.2,21.64,25.16
10,56.7,30.36,21.8,25.32
11,63.01,30.52,21.96,25.48
12,69.31,30.68,22.12,25.64
13,75.61,30.83,22.27,25.79
14,81.91,30.99,22.43,25.95
15,88.21,31.15,22.59,26.11
16,94.51,31.31,22.75,26.27
17,100.81,31.47,22.91,26.43
18,107.11,31.63,23.07,26.59
19,113.41,31.79,23.23,26.75
20,119.71,31.95,23.39,26.91
21,126.01,32.1,23.54,27.06
22,132.31,32.26,23.7,27.22
23,138.61,32.42,23.86,27.38
24,144.91,32.58,24.02,27.54
25,151.21,32.74,24.18,27.7
26,157.51,32.9,24.34,27.86
27,163.81,33.06,24.5,28.02
28,170.11,33.22,24.66,28.18
29,176.41,33.37,24.81,28.33
30,182.71,33.53,24.97,28.49
31,189.02,33.69,25.13,28.65
32,195.32,33.85,25.29,28.81
33,201.62,34.01,25.45,28.97
34,207.92,34.17,25.61,29.13
35,214.22,34.33,25.77,29.29
36,220.52,34.49,25.93,29.45
37,226.82,34.64,26.08,29.6
38,233.12,34.8,26.24,29.76
39,239.42,34.96,26.4,29.92
40,245.72,35.12,26.56,30.08
41,252.02,35.28,26.72,30.24
42,258.32,35.44,26.88,30.4
43,264.62,35.6,27.04,30.56
44,270.92,35.76,27.2,30.72
45,277.22,35.91,27.35,30.87
46,283.52,36.07,27.51,31.03
47,289.82,36.23,27.67,31.19
48,296.12,36.39,27.83,31.35
49,302.42,36.55,27.99,31.51
50,308.72,36.71,28.15,31.67
51,315.03,36.87,28.31,31.83
52,321.33,37.03,28.47,31.99
53,327.63,37.18,28.62,32.14
54,333.93,37.34,28.78,32.3
55,340.23,37.5,28.94,32.46
56,346.53,37.66,29.1,32.62
57,352.83,37.82,29.26,32.78
58,359.13,37.98,29.42,32.94
59,365.43,38.14,29.58,33.1
60,371.73,38.3,29.74,33.26
61,378.03,38.45,29.89,33.41
62,384.33,38.61,30.05,33.57
63,390.63,38.77,30.21,33.73
64,396.93,38.93,30.37,33.89
65,403.23,39.09,30.53,34.05
66,409.53,39.25,30.69,34.21
67,415.83,39.41,30.85,34.37
68,422.13,39.57,31.01,34.53
69,428.43,39.72,31.16,34.68
70,434.73,39.88,31.32,34.84
71,441.04,40.04,31.48,35.0
72,447.34,40.2,31.64,35.16
73,453.64,40.36,31.8,35.32
74,459.94,40.52,31.96,35.48
75,466.24,40.68,32.12,35.64
76,472.54,40.84,32.28,35.8
77,478.84,40.99,32.43,35.95
78,485.14,41.15,32.59,36.11
79,491.44,41.31,32.75,36.27
80,497.74,41.47,32.91,36.43
81,504.04,41.63,33.07,36.59
82,510.34,41.79,33.23,36.75
83,516.64,41.95,33.39,36.91
84,522.94,42.11,33.55,37.07
85,529.24,42.26,33.7,37.22
86,535.54,42.42,33.86,37.38
87,541.84,42.58,34.02,37.54
88,548.14,42.74,34.18,37.7
89,554.44,42.9,34.34,37.86
90,560.74,43.06,34.5,38.02
91,567.05,43.22,34.66,38.18
92,573.35,43.38,34.82,38.34
93,579.65,43.53,34.97,38.49
94,585.95,43.69,35.13,38.65
95,592.25,43.85,35.29,38.81
96,598.55,44.01,35.45,38.97
97,604.85,44.17,35.61,39.13
98,611.15,44.33,35.77,39.29
99,617.45,44.49,35.93,39.45
100,623.75,44.65,36.09,39.61
101,630.05,44.8,36.24,39.76
102,636.35,44.96,36.4,39.92
103,642.65,45.12,36.56,40.08
104,648.95,45.28,36.72,40.24
105,655.25,45.44,36.88,40.4
106,661.55,45.6,37.04,40.56
107,667.85,45.76,37.2,40.72
108,674.15,45.92,37.36,40.88
109,680.45,46.07,37.51,41.03
110,686.75,46.23,37.67,41.19
111,693.06,46.39,37.83,41.35
112,699.36,46.55,37.99,41.51
113,705.66,46.71,38.15,41.67
114,711.96,46.87,38.31,41.83
115,718.26,47.03,38.47,41.99
116,724.56,47.19,38.63,42.15
117,730.86,47.34,38.78,42.3
118,737.16,47.5,38.94,42.46
119,743.46,47.66,39.1,42.62
120,749.76,47.82,39.26,42.78
121,756.06,47.98,39.42,42.94
122,762.36,48.14,39.58,43.1
123,768.66,48.3,39.74,43.26
124,774.96,48.46,39.9,43.42
125,781.26,48.61,40.05,43.57
126,787.56,48.77,40.21,43.73
127,793.86,48.93,40.37,43.89
128,800.16,49.09,40.53,44.05
129,806.46,49.25,40.69,44.21
130,812.76,49.41,40.85,44.37
131,819.07,49.57,41.01,44.53
132,825.37,49.73,41.17,44.69
133,831.67,49.88,41.32,44.84
134,837.97,50.04,41.48,45.0
135,844.27,50.2,41.64,45.16
136,850.57,50.36,41.8,45.32
137,856.87,50.52,41.96,45.48
138,863.17,50.68,42.12,45.64
139,869.47,50.84,42.28,45.8
140,875.77,51.0,42.44,45.96
141,882.07,51.15,42.59,46.11
142,888.37,51.31,42.75,46.27
143,894.67,51.47,42.91,46.43
144,900.97,51.63,43.07,46.59
145,907.27,51.79,43.23,46.75
146,913.57,51.95,43.39,46.91
147,919.87,52.11,43.55,47.07
148,926.17,52.27,43.71,47.23
149,932.47,52.42,43.86,47.38
150,938.77,52.58,44.02,47.54
151,945.08,52.74,44.18,47.7
152,951.38,52.9,44.34,47.86
153,957.68,53.06,44.5,48.02
154,963.98,53.22,44.66,48.18
155,970.28,53.38,44.82,48.34
156,976.58,53.54,44.98,48.5
157,982.88,53.69,45.13,48.65
158,989.18,53.85,45.29,48.81
159,995.48,54.01,45.45,48.97
160,1001.78,54.17,45.61,49.13
161,1008.08,54.33,45.77,49.29
162,1014.38,54.49,45.93,49.45
163,1020.68,54.65,46.09,49.61
164,1026.98,54.81,46.25,49.77
165,1033.28,54.96,46.4,49.92
166,1039.58,55.12,46.56,50.08
167,1045.88,55.28,46.72,50.24
168,1052.18,55.44,46.88,50.4
169,1058.48,55.6,47.04,50.56
170,1064.78,55.76,47.2,50.72
171,1071.09,55.92,47.36,50.88
172,1077.39,56.08,47.52,51.04
173,1083.69,56.23,47.67,51.19
174,1089.99,56.39,47.83,51.35
175,1096.29,56.55,47.99,51.51
176,1102.59,56.69,48.13,51.65
177,1108.89,56.69,48.13,51.65
178,1115.19,56.69,48.13,51.65
179,1121.49,56.69,48.13,51.65
180,1127.79,56.69,48.13,51.65
181,1134.09,56.69,48.13,51.65
182,1140.39,56.69,48.13,51.65
183,1146.69,56.69,48.13,51.65
184,1152.99,56.69,48.13,51.65
185,1159.29,56.69,48.13,51.65
186,1165.59,56.69,48.13,51.65
187,1171.89,56.69,48.13,51.65
188,1178.19,56.69,48.13,51.65
189,1184.49,56.69,48.13,51.65
190,1190.79,56.69,48.13,51.65
191,1197.1,56.69,48.13,51.65
192,1203.4,56.69,48.13,51.65
193,1209.7,56.69,48.13,51.65
194,1216.0,56.69,48.13,51.65
195,1222.3,56.69,48.13,51.65
196,1228.6,56.69,48.13,51.65
197,1234.9,56.69,48.13,51.65
198,1241.2,56.69,48.13,51.65
199,1247.5,56.69,48.13,51.65
200,1253.8,56.69,48.13,51.65
201,1260.1,56.69,48.13,51.65
202,1266.4,56.69,48.13,51.65
203,1272.7,56.69,48.13,51.65
204,1279.0,56.69,48.13,51.65
205,1285.3,56.69,48.13,51.65
206,1291.6,56.69,48.13,51.65
207,1297.9,56.69,48.13,51.65
208,1304.2,56.69,48.13,51.65
209,1310.5,56.69,48.13,51.65
210,1316.8,56.69,48.13,51.65
211,1323.11,56.69,48.13,51.65
212,1329.41,56.69,48.13,51.65
213,1335.71,56.69,48.13,51.65
214,1342.01,56.69,48.13,51.65
215,1348.31,56.69,48.13,51.65
216,1354.61,56.69,48.13,51.65
217,1360.91,56.69,48.13,51.65
218,1367.21,56.69,48.13,51.65
219,1373.51,56.69,48.13,51.65
220,1379.81,56.69,48.13,51.65
221,1386.11,56.69,48.13,51.65
222,1392.41,56.69,48.13,51.65
223,1398.71,56.69,48.13,51.65
224,1405.01,56.69,48.13,51.65
225,1411.31,56.69,48.13,51.65
226,1417.61,56.69,48.13,51.65
227,1423.91,56.69,48.13,51.65
228,1430.21,56.69,48.13,51.65
229,1436.51,56.69,48.13,51.65
230,1442.81,56.69,48.13,51.65
231,1449.12,56.69,48.13,51.65
232,1455.42,56.69,48.13,51.65
233,1461.72,56.69,48.13,51.65
234,1468.02,56.69,48.13,51.65
235,1474.32,56.69,48.13,51.65
236,1480.62,56.69,48.13,51.65
237,1486.92,56.69,48.13,51.65
238,1493.22,56.69,48.13,51.65
239,1499.52,56.69,48.13,51.65
240,1505.82,56.69,48.13,51.65
241,1512.12,56.69,48.13,51.65
242,1518.42,56.69,48.13,51.65
243,1524.72,56.69,48.13,51.65
244,1531.02,56.69,48.13,51.65
245,1537.32,56.69,48.13,51.65
246,1543.62,56.69,48.13,51.65
247,1549.92,56.69,48.13,51.65
248,1556.22,56.69,48.13,51.65
249,1562.52,56.69,48.13,51.65
250,1568.82,56.69,48.13,51.65
251,1575.13,56.69,48.13,51.65
252,1581.43,56.69,48.13,51.65
253,1587.73,56.69,48.13,51.65
254,1594.03,56.69,48.13,51.65
255,1600.33,56.69,48.13,51.65
256,1606.63,56.69,48.13,51.65
257,1612.93,56.69,48.13,51.65
258,1619.23,56.69,48.13,51.65
259,1625.53,56.69,48.13,51.65
260,1631.83,56.69,48.13,51.65
261,1638.13,56.69,48.13,51.65
262,1644.43,56.69,48.13,51.65
263,1650.73,56.69,48.13,51.65
264,1657.03,56.69,48.13,51.65
265,1663.33,56.69,48.13,51.65
266,1669.63,56.69,48.13,51.65
267,1675.93,56.69,48.13,51.65
268,1682.23,56.69,48.13,51.65
269,1688.53,56.69,48.13,51.65
270,1694.83,56.69,48.13,51.65
271,1701.14,56.69,48.13,51.65
272,1707.44,56.69,48.13,51.65
273,1713.74,56.69,48.13,51.65
274,1720.04,56.69,48.13,51.65
275,1726.34,56.69,48.13,51.65
276,1732.64,56.55,47.99,51.51
277,1738.94,56.39,47.83,51.35
278,1745.24,56.23,47.67,51.19
279,1751.54,56.08,47.52,51.04
280,1757.84,55.92,47.36,50.88
281,1764.14,55.76,47.2,50.72
282,1770.44,55.6,47.04,50.56
283,1776.74,55.44,46.88,50.4
284,1783.04,55.28,46.72,50.24
285,1789.34,55.12,46.56,50.08
286,1795.64,54.96,46.4,49.92
287,1801.94,54.81,46.25,49.77
288,1808.24,54.65,46.09,49.61
289,1814.54,54.49,45.93,49.45
290,1820.84,54.33,45.77,49.29
291,1827.15,54.17,45.61,49.13
292,1833.45,54.01,45.45,48.97
293,1839.75,53.85,45.29,48.81
294,1846.05,53.69,45.13,48.65
295,1852.35,53.54,44.98,48.5
296,1858.65,53.38,44.82,48.34
297,1864.95,53.22,44.66,48.18
298,1871.25,53.06,44.5,48.02
299,1877.55,52.9,44.34,47.86
300,1883.85,52.74,44.18,47.7
301,1890.15,52.58,44.02,47.54
302,1896.45,52.42,43.86,47.38
303,1902.75,52.27,43.71,47.23
304,1909.05,52.11,43.55,47.07
305,1915.35,51.95,43.39,46.91
306,1921.65,51.79,43.23,46.75
307,1927.95,51.63,43.07,46.59
308,1934.25,51.47,42.91,46.43
309,1940.55,51.31,42.75,46.27
310,1946.85,51.15,42.59,46.11
311,1953.16,51.0,42.44,45.96
312,1959.46,50.84,42.28,45.8
313,1965.76,50.68,42.12,45.64
314,1972.06,50.52,41.96,45.48
315,1978.36,50.36,41.8,45.32
316,1984.66,50.2,41.64,45.16
317,1990.96,50.04,41.48,45.0
318,1997.26,49.88,41.32,44.84
319,2003.56,49.73,41.17,44.69
320,2009.86,49.57,41.01,44.53
321,2016.16,49.41,40.85,44.37
322,2022.46,49.25,40.69,44.21
323,2028.76,49.09,40.53,44.05
324,2035.06,48.93,40.37,43.89
325,2041.36,48.77,40.21,43.73
326,2047.66,48.61,40.05,43.57
327,2053.96,48.46,39.9,43.42
328,2060.26,48.3,39.74,43.26
329,2066.56,48.14,39.58,43.1
330,2072.86,47.98,39.42,42.94
331,2079.17,47.82,39.26,42.78
332,2085.47,47.66,39.1,42.62
333,2091.77,47.5,38.94,42.46
334,2098.07,47.34,38.78,42.3
335,2104.37,47.19,38.63,42.15
336,2110.67,47.03,38.47,41.99
337,2116.97,46.87,38.31,41.83
338,2123.27,46.71,38.15,41.67
339,2129.57,46.55,37.99,41.51
340,2135.87,46.39,37.83,41.35
341,2142.17,46.23,37.67,41.19
342,2148.47,46.07,37.51,41.03
343,2154.77,45.92,37.36,40.88
344,2161.07,45.76,37.2,40.72
345,2167.37,45.6,37.04,40.56
346,2173.67,45.44,36.88,40.4
347,2179.97,45.28,36.72,40.24
348,2186.27,45.12,36.56,40.08
349,2192.57,44.96,36.4,39.92
350,2198.87,44.8,36.24,39.76
351,2205.18,44.65,36.09,39.61
352,2211.48,44.49,35.93,39.45
353,2217.78,44.33,35.77,39.29
354,2224.08,44.17,35.61,39.13
355,2230.38,44.01,35.45,38.97
356,2236.68,43.85,35.29,38.81
357,2242.98,43.69,35.13,38.65
358,2249.28,43.53,34.97,38.49
359,2255.58,43.38,34.82,38.34
360,2261.88,43.22,34.66,38.18
361,2268.18,43.06,34.5,38.02
362,2274.48,42.9,34.34,37.86
363,2280.78,42.74,34.18,37.7
364,2287.08,42.58,34.02,37.54
365,2293.38,42.42,33.86,37.38
366,2299.68,42.26,33.7,37.22
367,2305.98,42.11,33.55,37.07
368,2312.28,41.95,33.39,36.91
369,2318.58,41.79,33.23,36.75
370,2324.88,41.63,33.07,36.59
371,2331.19,41.47,32.91,36.43
372,2337.49,41.31,32.75,36.27
373,2343.79,41.15,32.59,36.11
374,2350.09,40.99,32.43,35.95
375,2356.39,40.84,32.28,35.8
376,2362.69,40.68,32.12,35.64
377,2368.99,40.52,31.96,35.48
378,2375.29,40.36,31.8,35.32
379,2381.59,40.2,31.64,35.16
380,2387.89,40.04,31.48,35.0
381,2394.19,39.88,31.32,34.84
382,2400.49,39.72,31.16,34.68
383,2406.79,39.57,31.01,34.53
384,2413.09,39.41,30.85,34.37
385,2419.39,39.25,30.69,34.21
386,2425.69,39.09,30.53,34.05
387,2431.99,38.93,30.37,33.89
388,2438.29,38.77,30.21,33.73
389,2444.59,38.61,30.05,33.57
390,2450.89,38.45,29.89,33.41
391,2457.2,38.3,29.74,33.26
392,2463.5,38.14,29.58,33.1
393,2469.8,37.98,29.42,32.94
394,2476.1,37.82,29.26,32.78
395,2482.4,37.66,29.1,32.62
396,2488.7,37.5,28.94,32.46
397,2495.0,37.34,28.78,32.3
398,2501.3,37.18,28.62,32.14
399,2507.6,37.03,28.47,31.99
400,2513.9,36.87,28.31,31.83
401,2520.2,36.71,28.15,31.67
402,2526.5,36.55,27.99,31.51
403,2532.8,36.39,27.83,31.35
404,2539.1,36.23,27.67,31.19
405,2545.4,36.07,27.51,31.03
406,2551.7,35.91,27.35,30.87
407,2558.0,35.76,27.2,30.72
408,2564.3,35.6,27.04,30.56
409,2570.6,35.44,26.88,30.4
410,2576.9,35.28,26.72,30.24
411,2583.21,35.12,26.56,30.08
412,2589.51,34.96,26.4,29.92
413,2595.81,34.8,26.24,29.76
414,2602.11,34.64,26.08,29.6
415,2608.41,34.49,25.93,29.45
416,2614.71,34.33,25.77,29.29
417,2621.01,34.17,25.61,29.13
418,2627.31,34.01,25.45,28.97
419,2633.61,33.85,25.29,28.81
420,2639.91,33.69,25.13,28.65
421,2646.21,33.53,24.97,28.49
422,2652.51,33.37,24.81,28.33
423,2658.81,33.22,24.66,28.18
424,2665.11,33.06,24.5,28.02
425,2671.41,32.9,24.34,27.86
426,2677.71,32.74,24.18,27.7
427,2684.01,32.58,24.02,27.54
428,2690.31,32.42,23.86,27.38
429,2696.61,32.26,23.7,27.22
430,2702.91,32.1,23.54,27.06
431,2709.22,31.95,23.39,26.91
432,2715.52,31.79,23.23,26.75
433,2721.82,31.63,23.07,26.59
434,2728.12,31.47,22.91,26.43
435,2734.42,31.31,22.75,26.27
436,2740.72,31.15,22.59,26.11
437,2747.02,30.99,22.43,25.95
438,2753.32,30.83,22.27,25.79
439,2759.62,30.68,22.12,25.64
440,2765.92,30.52,21.96,25.48
441,2772.22,30.36,21.8,25.32
442,2778.52,30.2,21.64,25.16
443,2784.82,30.04,21.48,25.0
444,2791.12,29.88,21.32,24.84
445,2797.42,29.72,21.16,24.68
446,2803.72,29.56,21.0,24.52
447,2810.02,29.41,20.85,24.37
448,2816.32,29.25,20.69,24.21
449,2822.62,29.09,20.53,24.05
